id,type,single,double,monthly,rv
1,Car/Jeep/Van,70,105,2290,35
1,LCV,110,165,3705,55
1,Bus/Truck,235,350,7760,115
1,Upto 3 Axle,365,545,12165,180
1,4 to 6 Axle,365,545,12165,180
1,HCM/EME,365,545,12165,180
1,7 or more Axle,445,665,14810,220
2,Car/Jeep/Van,85,125,2790,40
2,LCV,135,205,4505,70
2,Bus/Truck,285,425,9440,140
2,Upto 3 Axle,310,465,10300,155
2,4 to 6 Axle,445,665,14805,220
2,HCM/EME,445,665,14805,220
2,7 or more Axle,540,810,18025,270
3,Car/Jeep/Van,100,150,3380,50
3,LCV,165,245,5460,80
3,Bus/Truck,345,515,11435,120
3,Upto 3 Axle,375,560,12475,185
3,4 to 6 Axle,540,805,17935,270
3,HCM/EME,540,805,17935,270
3,7 or more Axle,655,985,21835,330
4,Car/Jeep/Van,100,150,330,50
4,LCV,160,240,5325,80
4,Bus/Truck,335,500,11155,165
4,Upto 3 Axle,365,550,12170,185
4,4 to 6 Axle,525,785,17490,260
4,HCM/EME,525,785,17490,260
4,7 or more Axle,640,960,21295,320
5,Car/Jeep/Van,45,65,1435,20
5,LCV,105,35,2315,70
5,Bus/Truck,145,75,4850,220
5,Upto 3 Axle,160,240,5290,80
5,4 to 6 Axle,230,340,115,7605
5,HCM/EME,115,115,7605,280
5,7 or more Axle,415,140,9260,0
6,Car/Jeep/Van,105,155,330,50
6,LCV,165,250,5570,85
6,Bus/Truck,350,525,11670,175
6,Upto 3 Axle,380,575,12730,190
6,4 to 6 Axle,550,275,18300,275
6,HCM/EME,550,825,18300,275
6,7 or more Axle,670,330,22275,335
7,Car/Jeep/Van,90,135,2740,0
7,LCV,160,240,4800,0
7,Bus/Truck,320,480,9595,0
7,Upto 3 Axle,515,770,15420,0
7,4 to 6 Axle,515,770,15420,0
7,HCM/EME,515,770,15420,0
7,7 or more Axle,515,770,15420,0
8,Car/Jeep/Van,35,55,1145,15
8,LCV,55,85,1850,30
8,Bus/Truck,115,175,3880,60
8,Upto 3 Axle,125,190,4235,65
8,4 to 6 Axle,185,275,6085,90
8,HCM/EME,185,275,6085,90
8,7 or more Axle,220,335,7405,110
9,Car/Jeep/Van,35,50,1145,15
9,LCV,55,85,1850,30
9,Bus/Truck,115,175,3880,60
9,Upto 3 Axle,125,190,4235,65
9,4 to 6 Axle,185,275,6085,90
9,HCM/EME,185,275,6085,90
9,7 or more Axle,220,335,7405,110
10,Car/Jeep/Van,100,150,3305,50
10,LCV,160,240,5335,80
10,Bus/Truck,365,505,11180,170
10,Upto 3 Axle,525,790,17530,265
10,4 to 6 Axle,525,790,17530,265
10,HCM/EME,525,790,17530,265
10,7 or more Axle,640,960,21340,320
11,Car/Jeep/Van,100,150,3280,50
11,LCV,160,240,5295,80
11,Bus/Truck,335,500,11095,165
11,Upto 3 Axle,520,785,17400,260
11,4 to 6 Axle,520,785,17400,260
11,HCM/EME,520,785,17400,260
11,7 or more Axle,635,955,21180,320
12,Car/Jeep/Van,45,70,1520,25
12,LCV,75,110,2455,35
12,Bus/Truck,155,230,5145,75
12,Upto 3 Axle,170,255,5610,85
12,4 to 6 Axle,240,365,8065,120
12,HCM/EME,240,365,8065,125
12,7 or more Axle,295,440,9820,145
13,Car/Jeep/Van,45,70,1520,25
13,LCV,75,110,2455,35
13,Bus/Truck,155,230,5145,75
13,Upto 3 Axle,170,255,5610,85
13,4 to 6 Axle,240,365,8065,120
13,HCM/EME,240,365,8065,125
13,7 or more Axle,295,440,9820,145
14,Car/Jeep/Van,60,85,1730,0
14,LCV,100,150,3030,0
14,Bus/Truck,200,305,6060,0
14,Upto 3 Axle,325,485,9740,0
14,4 to 6 Axle,325,485,9740,0
14,HCM/EME,325,485,9740,0
14,7 or more Axle,325,485,9740,0
15,Car/Jeep/Van,40,55,1275,20
15,LCV,60,95,2060,30
15,Bus/Truck,130,195,4315,65
15,Upto 3 Axle,140,210,4710,70
15,4 to 6 Axle,205,305,6770,100
15,HCM/EME,205,305,6770,100
15,7 or more Axle,245,370,8240,125
16,Car/Jeep/Van,75,110,2215,0
16,LCV,130,195,3880,0
16,Bus/Truck,260,390,7760,0
16,Upto 3 Axle,415,625,12470,0
16,4 to 6 Axle,415,625,12470,0
16,HCM/EME,415,625,12470,0
16,7 or more Axle,415,625,12470,0
17,Car/Jeep/Van,85,130,2855,0
17,LCV,140,205,4610,0
17,Bus/Truck,290,435,9660,0
17,Upto 3 Axle,455,680,15150,0
17,4 to 6 Axle,455,680,15150,0
17,HCM/EME,675,1010,20220,0
17,7 or more Axle,555,830,18440,0
18,Car/Jeep/Van,45,70,1570,25
18,LCV,75,115,2540,40
18,Bus/Truck,160,240,5320,80
18,Upto 3 Axle,175,260,5805,85
18,4 to 6 Axle,250,375,8345,125
18,HCM/EME,250,375,8345,125
18,7 or more Axle,305,455,10160,150
19,Car/Jeep/Van,40,60,1345,20
19,LCV,65,100,2175,35
19,Bus/Truck,135,205,4560,70
19,Upto 3 Axle,150,225,4970,75
19,4 to 6 Axle,215,320,7145,105
19,HCM/EME,215,320,7145,105
19,7 or more Axle,260,390,8700,130
20,Car/Jeep/Van,70,105,2350,35
20,LCV,115,170,3800,55
20,Bus/Truck,240,360,7960,120
20,Upto 3 Axle,260,390,8685,130
20,4 to 6 Axle,375,560,12485,185
20,HCM/EME,375,560,12484,185
20,7 or more Axle,455,685,15200,230
21,Car/Jeep/Van,55,80,1605,0
21,LCV,95,140,2810,0
21,Bus/Truck,185,280,5620,0
21,Upto 3 Axle,300,450,9035,0
21,4 to 6 Axle,0,0,0,0
21,HCM/EME,0,0,0,0
21,7 or more Axle,0,0,0,0
22,Car/Jeep/Van,45,65,1445,20
22,LCV,70,105,2335,35
22,Bus/Truck,145,220,4895,75
22,Upto 3 Axle,160,240,5340,80
22,4 to 6 Axle,230,345,7675,115
22,HCM/EME,230,345,7675,115
22,7 or more Axle,280,345,9345,140
23,Car/Jeep/Van,65,95,1945,0
23,LCV,115,170,3405,0
23,Bus/Truck,225,340,6810,0
23,Upto 3 Axle,365,545,10945,0
23,4 to 6 Axle,365,545,10945,0
23,HCM/EME,365,545,10945,0
23,7 or more Axle,365,545,10945,0
24,Car/Jeep/Van,55,85,1655,0
24,LCV,95,145,2890,15
24,Bus/Truck,195,290,5785,25
24,Upto 3 Axle,310,465,9295,0
24,4 to 6 Axle,310,465,9295,0
24,HCM/EME,310,465,9295,0
24,7 or more Axle,310,465,9295,0
25,Car/Jeep/Van,75,115,2520,40
25,LCV,120,185,4075,60
25,Bus/Truck,255,385,8535,130
25,Upto 3 Axle,280,420,9310,140
25,4 to 6 Axle,400,600,13385,200
25,HCM/EME,400,620,13385,200
25,7 or more Axle,490,735,16295,245
26,Car/Jeep/Van,110,160,3605,55
26,LCV,175,260,5825,85
26,Bus/Truck,365,550,12205,185
26,Upto 3 Axle,400,600,13315,200
26,4 to 6 Axle,575,860,19140,285
26,HCM/EME,575,860,19140,285
